Balance sheet What's this?,"30.09.20
(£m)","30.09.21
(£m)","30.09.22
(£m)","30.09.23
(£m)","30.09.24
(£m)",
Total Assets,"3,715.00","3,329.00","3,896.00","3,936.00","3,638.00",
Non-current assets,"2,469.00","2,405.00","3,013.00","2,822.00","2,710.00",
Current assets,"1,246.00",924.00,883.00,"1,114.00",928.00,
Total liabilities,"2,063.00","2,218.00","2,499.00","2,529.00","2,545.00",
Non-current liabilities,"1,048.00",838.00,"1,173.00","1,344.00","1,319.00",
Current liabilities,"1,015.00","1,380.00","1,326.00","1,185.00","1,226.00",
Net assets,"1,652.00","1,111.00","1,397.00","1,407.00","1,093.00",
Total Equity,"1,652.00","1,111.00","1,397.00","1,407.00","1,093.00",
Shareholders Funds,"1,652.00","1,111.00","1,397.00","1,407.00","1,093.00",
Non-controlling Interests,-,-,-,-,-,
